"species","Long","Lat"
"Acacia",38.06457,2.45789
"Acacia",38.06457,2.45789
"Opuntia",37.98963,2.33041
"Opuntia",37.99013,2.33409
"Acacia",38.20069,2.19347
"Acacia",38.25906,2.11664
"Acacia",38.275,2.1298
"Acacia",38.22306,2.18215
"Acacia",38.23998,2.17102
"Acacia",38.25245,2.16372
"Acacia",38.2924,2.14126
"Acacia",38.32886,2.18025
"Acacia",38.36536,2.07221
"Acacia",38.36536,2.07221
"Acacia",38.31938,2.11519
"Acacia",38.28941,2.12996
"Acacia",38.28932,2.12953
"Acacia",38.27904,2.14616
"Acacia",38.27598,2.12911
"Acacia",38.28804,2.06944
"Acacia",38.27598,2.12911
"Acacia",38.28804,2.06944
"Acacia",38.27847,2.06076
"Acacia",37.59346,0.73006
"Acacia",37.59424,0.73079
"Acacia",37.35469,0.83484
"Acacia",37.35439,0.83484
"Acacia",37.35399,0.83481
"Acacia",37.35249,0.8344
"Acacia",37.34551,0.83271
"Acacia",37.34175,0.83192
"Acacia",37.33856,0.83014
"Acacia",37.33869,0.81185
"Acacia",37.33943,0.8105
"Acacia",37.34003,0.809
"Acacia",37.34073,0.80701
"Acacia",37.34144,0.80396
"Acacia",37.34201,0.80262
"Acacia",37.34329,0.8
"Acacia",37.34412,0.79751
"Acacia",37.34413,0.79743
"Acacia",37.34415,0.79734
"Acacia",37.34428,0.79666
"Acacia",37.34431,0.79658
"Acacia",37.34458,0.79584
"Acacia",37.34447,0.79558
"Acacia",37.3449,0.7947
"Acacia",37.34493,0.79458
"Acacia",37.34496,0.79443
"Acacia",37.34499,0.79424
"Acacia",37.34503,0.79405
"Acacia",37.34511,0.79365
"Acacia",37.34795,0.7808
"Acacia",37.34793,0.78065
"Acacia",37.35292,0.73727
"Acacia",37.3454,0.83299
"Acacia",37.35421,0.8349
"Acacia",37.3532,0.83469
"Acacia",37.35153,0.83421
"Acacia",37.33445,0.82631
"Acacia",37.51846,0.69743
"Acacia",37.55848,0.70193
"Acacia",37.60318,0.71707
"Acacia",37.60222,0.71632
"Acacia",37.6022,0.71631
"Acacia",37.52352,0.69728
"Acacia",37.58297,0.70418
"Acacia",37.52117,0.69773
"Acacia",37.52678,0.69817
"Acacia",37.51676,0.69782
"Acacia",37.52065,0.69715
"Acacia",37.56129,0.7012
"Acacia",37.55769,0.70267
"Acacia",37.5827,0.71051
"Acacia",37.52331,0.69707
"Acacia",37.51663,0.70904
"Acacia",37.56914,0.69413
"Acacia",37.55849,0.70192
"Acacia",37.58202,0.70275
"Acacia",37.56994,0.69429
"Acacia",37.58113,0.70374
"Acacia",37.51728,0.69782
"Acacia",37.34916,0.6945
"Acacia",37.34918,0.69426
"Acacia",37.35396,0.65503
"Acacia",37.37747,0.63476
"Acacia",37.39053,0.62661
"Acacia",37.37998,0.63283
"Acacia",37.3492,0.69395
"Acacia",37.13922,0.63036
"Acacia",37.13869,0.6304
"Acacia",37.13865,0.6305
"Acacia",37.1385,0.63058
"Acacia",37.13847,0.63057
"Acacia",37.1383,0.63037
"Acacia",37.13885,0.62822
"Acacia",37.13985,0.62809
"Acacia",37.13986,0.62811
"Acacia",37.14125,0.62837
"Acacia",37.14128,0.62837
"Acacia",37.12018,0.58958
"Acacia",37.12029,0.5894
"Acacia",37.12067,0.58916
"Acacia",37.12063,0.58938
"Acacia",37.14222,0.63022
"Acacia",37.14067,0.63032
"Acacia",37.33672,0.62734
"Acacia",37.33672,0.62734
"Acacia",37.24243,0.60727
"Opuntia",37.60573,0.71518
"Opuntia",37.60766,0.71295
"Opuntia",37.60911,0.71126
"Opuntia",37.25314,0.61199
"Opuntia",37.25314,0.61199
"Opuntia",37.25314,0.61199
"Acacia",37.30694,0.5791
"Acacia",37.24923,0.58048
"Acacia",37.24951,0.58018
"Acacia",37.25,0.58012
"Acacia",37.25033,0.57999
"Acacia",37.25035,0.57959
"Acacia",37.2503,0.57913
"Acacia",37.25024,0.57882
"Acacia",37.24988,0.57863
"Acacia",37.2498,0.5785
"Acacia",37.2495,0.57831
"Acacia",37.24909,0.57831
"Acacia",37.24863,0.57856
"Acacia",37.2486,0.57857
"Acacia",37.24859,0.5786
"Acacia",37.24858,0.57862
"Acacia",37.2484,0.57875
"Acacia",37.24839,0.57875
"Acacia",37.24801,0.57889
"Acacia",37.24762,0.57909
"Acacia",37.3033,0.58292
"Acacia",37.304,0.5824
"Acacia",37.3041,0.58234
"Acacia",37.30556,0.58137
"Acacia",37.30621,0.5809
"Acacia",37.30791,0.57978
"Acacia",37.30985,0.57904
"Acacia",37.31196,0.57815
"Acacia",37.31349,0.57702
"Acacia",37.30743,0.57973
"Acacia",37.30117,0.58438
"Acacia",37.30815,0.57914
"Acacia",37.30696,0.579
"Acacia",37.11651,0.58707
"Acacia",37.24734,0.58137
"Acacia",37.24822,0.58098
"Acacia",37.25044,0.57997
"Acacia",37.1178,0.58712
"Acacia",37.62405,0.50644
"Opuntia",36.90514,0.56021
"Opuntia",36.90526,0.56101
"Opuntia",36.90503,0.56185
"Opuntia",36.90504,0.56252
"Opuntia",36.90698,0.56118
"Opuntia",36.90759,0.56128
"Opuntia",36.90816,0.56113
"Opuntia",36.90829,0.56115
"Opuntia",36.90884,0.56106
"Opuntia",36.90957,0.56065
"Opuntia",36.90961,0.5602
"Opuntia",36.91022,0.55912
"Opuntia",36.91118,0.55854
"Opuntia",36.91119,0.5582
"Opuntia",36.91116,0.55817
"Opuntia",36.91089,0.55777
"Opuntia",36.91059,0.55729
"Opuntia",36.91074,0.55691
"Opuntia",36.91076,0.55652
"Opuntia",36.91042,0.55624
"Opuntia",36.90998,0.55601
"Opuntia",36.90957,0.55588
"Opuntia",36.90861,0.55566
"Opuntia",36.90806,0.5554
"Opuntia",36.90767,0.5554
"Opuntia",36.90663,0.55537
"Opuntia",36.90594,0.55562
"Opuntia",36.90547,0.55551
"Opuntia",36.90543,0.55615
"Opuntia",36.90532,0.55643
"Opuntia",36.90523,0.55713
"Opuntia",36.93199,0.55149
"Opuntia",36.93499,0.55033
"Opuntia",36.94025,0.5459
"Opuntia",36.94543,0.54262
"Opuntia",36.97476,0.51268
"Opuntia",36.99775,0.47499
"Opuntia",36.99645,0.47144
"Opuntia",36.99626,0.47116
"Opuntia",36.99586,0.47097
"Opuntia",36.99569,0.47076
"Opuntia",36.99536,0.47044
"Opuntia",36.99486,0.47013
"Opuntia",36.99451,0.47013
"Opuntia",36.99434,0.46984
"Opuntia",36.99413,0.46942
"Opuntia",36.99424,0.46899
"Opuntia",36.99451,0.46885
"Opuntia",36.99483,0.46877
"Opuntia",36.99519,0.46893
"Opuntia",36.99531,0.46932
"Opuntia",36.99595,0.46987
"Opuntia",36.99625,0.4705
"Opuntia",36.99634,0.47087
"Opuntia",36.97495,0.5124
"Opuntia",36.90456,0.5579
"Opuntia",36.90486,0.55971
"Opuntia",36.98778,0.49686
"Acacia",37.44087,0.43505
"Acacia",37.44583,0.40579
"Acacia",37.43986,0.45505
"Opuntia",37.10536,0.36967
"Opuntia",37.10557,0.36993
"Opuntia",37.10591,0.3703
"Opuntia",37.10618,0.37069
"Opuntia",37.10635,0.37091
"Opuntia",37.10655,0.37116
"Opuntia",37.10718,0.37186
"Opuntia",37.12491,0.3761
"Opuntia",37.12504,0.37673
"Opuntia",37.12511,0.3772
"Opuntia",37.12535,0.37724
"Opuntia",37.12469,0.37423
"Opuntia",37.12449,0.37349
"Opuntia",37.14642,0.36671
"Opuntia",37.14674,0.36705
"Opuntia",37.14703,0.36718
"Opuntia",37.14725,0.36747
"Opuntia",37.14707,0.36775
"Opuntia",37.1072,0.37186
"Opuntia",37.10629,0.37062
"Opuntia",37.10575,0.37043
"Opuntia",37.10541,0.37008
"Opuntia",37.10521,0.36982
"Opuntia",37.10456,0.3693
"Opuntia",37.10402,0.3695
"Opuntia",37.10384,0.36945
"Opuntia",37.10499,0.36893
"Opuntia",37.09043,0.36127
"Opuntia",37.0899,0.36101
"Opuntia",37.08858,0.36038
"Opuntia",37.34541,0.44146
"Opuntia",37.34541,0.44146
"Opuntia",37.34541,0.44146
"Opuntia",37.34379,0.44375
"Opuntia",36.849708139,0.50809073198
"Opuntia",36.8447652612,0.51205202238
"Opuntia",36.8520820168,0.51052264505
"Opuntia",36.8387295785,0.5187753303
"Opuntia",36.8301467744,0.52018012727
"Opuntia",36.8350180727,0.5231929107
"Opuntia",36.8314526145,0.52830845923
"Opuntia",36.847970924,0.52498578571
"Opuntia",36.851755841,0.52505179195
"Opuntia",36.8558870059,0.5264250809
"Opuntia",36.8630534272,0.52624857554
"Opuntia",36.8646699002,0.5280977874
"Opuntia",36.8504441985,0.52894276459
"Opuntia",36.8549961438,0.53047794262
"Opuntia",36.863838373,0.52976824894
"Opuntia",36.8658322824,0.52891421524
"Opuntia",36.8533701392,0.53596670479
"Opuntia",36.8561802949,0.53457213517
"Opuntia",36.8620065057,0.53506152046
"Opuntia",36.8639268736,0.53631896566
"Opuntia",36.8517991012,0.53961506621
"Opuntia",36.8573548916,0.54018628384
"Opuntia",36.8616034761,0.53762857206
"Opuntia",36.8263527189,0.54289418933
"Opuntia",36.8531391821,0.54500945802
"Opuntia",36.8550689048,0.54505657081
"Opuntia",36.8210106506,0.54793714078
"Opuntia",36.8533592609,0.54837314601
"Opuntia",36.8552770503,0.54758543957
"Opuntia",36.8292544852,0.55311693602
"Opuntia",36.8365767015,0.55460566016
"Opuntia",36.8438088596,0.55459120405
"Opuntia",36.85018549,0.55395444091
"Opuntia",36.850582658,0.55166866256
"Opuntia",36.8563013072,0.55196416397
"Opuntia",36.8594913294,0.55432661629
"Opuntia",36.8639169642,0.55453567962
"Opuntia",36.8629933501,0.55672426803
"Opuntia",36.8638529414,0.5570426474
"Opuntia",36.8377257058,0.56435759732
"Opuntia",36.8421239528,0.56362168014
"Opuntia",36.8482257289,0.56142565436
"Opuntia",36.851604634,0.5630993141
"Opuntia",36.8549595752,0.56157200734
"Opuntia",36.8616199856,0.56086004683
"Opuntia",36.8639532072,0.56203728932
"Opuntia",36.8397938504,0.56631367552
"Opuntia",36.8447090634,0.56642610544
"Opuntia",36.8476093217,0.56769130259
"Opuntia",36.8539138752,0.56498435897
"Opuntia",36.8573439479,0.56520297771
"Opuntia",36.8597907802,0.56814970616
"Opuntia",36.8644768084,0.56712310451
"Opuntia",36.8147207253,0.56940740238
"Opuntia",36.8224528207,0.57016179548
"Opuntia",36.8283007274,0.5692783606
"Opuntia",36.84323023,0.57073199454
"Opuntia",36.8476786033,0.57223718226
"Opuntia",36.8530742955,0.57264552072
"Opuntia",36.857330119,0.57187129292
"Opuntia",36.8595994971,0.56946589325
"Opuntia",36.8661183108,0.5728054582
"Opuntia",36.8178817851,0.57430557303
