"Long","Lat","Acacia","geometry"
38.06457,2.45789,1,c(38.06457, 2.45789)
38.06457,2.45789,1,c(38.06457, 2.45789)
38.20069,2.19347,1,c(38.20069, 2.19347)
38.25906,2.11664,1,c(38.25906, 2.11664)
38.275,2.1298,1,c(38.275, 2.1298)
38.22306,2.18215,1,c(38.22306, 2.18215)
38.23998,2.17102,1,c(38.23998, 2.17102)
38.25245,2.16372,1,c(38.25245, 2.16372)
38.2924,2.14126,1,c(38.2924, 2.14126)
38.32886,2.18025,1,c(38.32886, 2.18025)
38.36536,2.07221,1,c(38.36536, 2.07221)
38.36536,2.07221,1,c(38.36536, 2.07221)
38.31938,2.11519,1,c(38.31938, 2.11519)
38.28941,2.12996,1,c(38.28941, 2.12996)
38.28932,2.12953,1,c(38.28932, 2.12953)
38.27904,2.14616,1,c(38.27904, 2.14616)
38.27598,2.12911,1,c(38.27598, 2.12911)
38.28804,2.06944,1,c(38.28804, 2.06944)
38.27598,2.12911,1,c(38.27598, 2.12911)
38.28804,2.06944,1,c(38.28804, 2.06944)
38.27847,2.06076,1,c(38.27847, 2.06076)
37.59346,0.73006,1,c(37.59346, 0.73006)
37.59424,0.73079,1,c(37.59424, 0.73079)
37.35469,0.83484,1,c(37.35469, 0.83484)
37.35439,0.83484,1,c(37.35439, 0.83484)
37.35399,0.83481,1,c(37.35399, 0.83481)
37.35249,0.8344,1,c(37.35249, 0.8344)
37.34551,0.83271,1,c(37.34551, 0.83271)
37.34175,0.83192,1,c(37.34175, 0.83192)
37.33856,0.83014,1,c(37.33856, 0.83014)
37.33869,0.81185,1,c(37.33869, 0.81185)
37.33943,0.8105,1,c(37.33943, 0.8105)
37.34003,0.809,1,c(37.34003, 0.809)
37.34073,0.80701,1,c(37.34073, 0.80701)
37.34144,0.80396,1,c(37.34144, 0.80396)
37.34201,0.80262,1,c(37.34201, 0.80262)
37.34329,0.8,1,c(37.34329, 0.8)
37.34412,0.79751,1,c(37.34412, 0.79751)
