"Long","Lat","Opuntia"
"37.98963",2.33041,1
"37.99013",2.33409,1
"37.60573",0.71518,1
"37.60766",0.71295,1
"37.60911",0.71126,1
"37.25314",0.61199,1
"37.25314",0.61199,1
"37.25314",0.61199,1
"36.90514",0.56021,1
"36.90526",0.56101,1
"36.90503",0.56185,1
"36.90504",0.56252,1
"36.90698",0.56118,1
"36.90759",0.56128,1
"36.90816",0.56113,1
"36.90829",0.56115,1
"36.90884",0.56106,1
"36.90957",0.56065,1
"36.90961",0.5602,1
"36.91022",0.55912,1
"36.91118",0.55854,1
"36.91119",0.5582,1
"36.91116",0.55817,1
"36.91089",0.55777,1
"36.91059",0.55729,1
"36.91074",0.55691,1
"36.91076",0.55652,1
"36.91042",0.55624,1
"36.90998",0.55601,1
"36.90957",0.55588,1
"36.90861",0.55566,1
"36.90806",0.5554,1
"36.90767",0.5554,1
"36.90663",0.55537,1
"36.90594",0.55562,1
"36.90547",0.55551,1
"36.90543",0.55615,1
"36.90532",0.55643,1
"36.90523",0.55713,1
"36.93199",0.55149,1
"36.93499",0.55033,1
"36.94025",0.5459,1
"36.94543",0.54262,1
"36.97476",0.51268,1
"36.99775",0.47499,1
"36.99645",0.47144,1
"36.99626",0.47116,1
"36.99586",0.47097,1
"36.99569",0.47076,1
"36.99536",0.47044,1
"36.99486",0.47013,1
"36.99451",0.47013,1
"36.99434",0.46984,1
"36.99413",0.46942,1
"36.99424",0.46899,1
"36.99451",0.46885,1
"36.99483",0.46877,1
"36.99519",0.46893,1
"36.99531",0.46932,1
"36.99595",0.46987,1
"36.99625",0.4705,1
"36.99634",0.47087,1
"36.97495",0.5124,1
"36.90456",0.5579,1
"36.90486",0.55971,1
"36.98778",0.49686,1
"37.10536",0.36967,1
"37.10557",0.36993,1
"37.10591",0.3703,1
"37.10618",0.37069,1
"37.10635",0.37091,1
"37.10655",0.37116,1
"37.10718",0.37186,1
"37.12491",0.3761,1
"37.12504",0.37673,1
"37.12511",0.3772,1
"37.12535",0.37724,1
"37.12469",0.37423,1
"37.12449",0.37349,1
"37.14642",0.36671,1
"37.14674",0.36705,1
"37.14703",0.36718,1
"37.14725",0.36747,1
"37.14707",0.36775,1
"37.1072",0.37186,1
"37.10629",0.37062,1
"37.10575",0.37043,1
"37.10541",0.37008,1
"37.10521",0.36982,1
"37.10456",0.3693,1
"37.10402",0.3695,1
"37.10384",0.36945,1
"37.10499",0.36893,1
"37.09043",0.36127,1
"37.0899",0.36101,1
"37.08858",0.36038,1
"37.34541",0.44146,1
"37.34541",0.44146,1
"37.34541",0.44146,1
"37.34379",0.44375,1
"36.849708139",0.50809073198,1
"36.8447652612",0.51205202238,1
"36.8520820168",0.51052264505,1
"36.8387295785",0.5187753303,1
"36.8301467744",0.52018012727,1
"36.8350180727",0.5231929107,1
"36.8314526145",0.52830845923,1
"36.847970924",0.52498578571,1
"36.851755841",0.52505179195,1
"36.8558870059",0.5264250809,1
"36.8630534272",0.52624857554,1
"36.8646699002",0.5280977874,1
"36.8504441985",0.52894276459,1
"36.8549961438",0.53047794262,1
"36.863838373",0.52976824894,1
"36.8658322824",0.52891421524,1
"36.8533701392",0.53596670479,1
"36.8561802949",0.53457213517,1
"36.8620065057",0.53506152046,1
"36.8639268736",0.53631896566,1
"36.8517991012",0.53961506621,1
"36.8573548916",0.54018628384,1
"36.8616034761",0.53762857206,1
"36.8263527189",0.54289418933,1
"36.8531391821",0.54500945802,1
"36.8550689048",0.54505657081,1
"36.8210106506",0.54793714078,1
"36.8533592609",0.54837314601,1
"36.8552770503",0.54758543957,1
"36.8292544852",0.55311693602,1
"36.8365767015",0.55460566016,1
"36.8438088596",0.55459120405,1
"36.85018549",0.55395444091,1
"36.850582658",0.55166866256,1
"36.8563013072",0.55196416397,1
"36.8594913294",0.55432661629,1
"36.8639169642",0.55453567962,1
"36.8629933501",0.55672426803,1
"36.8638529414",0.5570426474,1
"36.8377257058",0.56435759732,1
"36.8421239528",0.56362168014,1
"36.8482257289",0.56142565436,1
"36.851604634",0.5630993141,1
"36.8549595752",0.56157200734,1
"36.8616199856",0.56086004683,1
"36.8639532072",0.56203728932,1
"36.8397938504",0.56631367552,1
"36.8447090634",0.56642610544,1
"36.8476093217",0.56769130259,1
"36.8539138752",0.56498435897,1
"36.8573439479",0.56520297771,1
"36.8597907802",0.56814970616,1
"36.8644768084",0.56712310451,1
"36.8147207253",0.56940740238,1
"36.8224528207",0.57016179548,1
"36.8283007274",0.5692783606,1
"36.84323023",0.57073199454,1
"36.8476786033",0.57223718226,1
"36.8530742955",0.57264552072,1
"36.857330119",0.57187129292,1
"36.8595994971",0.56946589325,1
"36.8661183108",0.5728054582,1
"36.8178817851",0.57430557303,1
"36.8211923794",0.57683648956,1
"36.8256279107",0.57633600612,1
"36.8281325355",0.57524108985,1
"36.8339522901",0.57607027468,1
"36.8410403862",0.57567364172,1
"36.8439363157",0.57488093162,1
"36.8462999781",0.57441775103,1
"36.8536226504",0.57642469968,1
"36.8629529518",0.57728457959,1
"36.8678109381",0.57666953736,1
"36.8081544393",0.58241402008,1
"36.8137669303",0.57964659014,1
"36.8177838312",0.58268213062,1
"36.8233392038",0.5811841655,1
