"algo","expl.var","Mean_Importance"
"GAM","worldclim_KE_bio14",0.582054583333333
"GAM","worldclim_KE_bio15",0.484710083333333
"GAM","worldclim_KE_bio18",0.262269166666667
"GAM","worldclim_KE_bio2",0.545405166666667
"GAM","worldclim_KE_bio3",0.791086333333333
"GAM","worldclim_KE_bio4",0.478856666666667
"GAM","worldclim_KE_bio6",0.459831166666667
"GAM","worldclim_KE_bio7",0.892765916666667
"GBM","worldclim_KE_bio14",0.0125928333333333
"GBM","worldclim_KE_bio15",0.00741900000000001
"GBM","worldclim_KE_bio18",0.0178073333333333
"GBM","worldclim_KE_bio2",0.0354895
"GBM","worldclim_KE_bio3",0.174238416666667
"GBM","worldclim_KE_bio4",0.17419175
"GBM","worldclim_KE_bio6",0.0134624166666667
"GBM","worldclim_KE_bio7",0.005518
"GLM","worldclim_KE_bio14",0.302508166666667
"GLM","worldclim_KE_bio15",0.1611305
"GLM","worldclim_KE_bio18",0.35488925
"GLM","worldclim_KE_bio2",0.490748083333333
"GLM","worldclim_KE_bio3",0.194178666666667
"GLM","worldclim_KE_bio4",0
"GLM","worldclim_KE_bio6",0.5975695
"GLM","worldclim_KE_bio7",0.871324583333333
"RF","worldclim_KE_bio14",0.01924975
"RF","worldclim_KE_bio15",0.0206804166666667
"RF","worldclim_KE_bio18",0.0213875833333333
"RF","worldclim_KE_bio2",0.0352930833333333
"RF","worldclim_KE_bio3",0.0724851666666667
"RF","worldclim_KE_bio4",0.0576009166666667
"RF","worldclim_KE_bio6",0.0279458333333333
"RF","worldclim_KE_bio7",0.0190044166666667
