"full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","KAPPA",495,73.81,92.5,0.682,0.27,NA
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","TSS",495,73.81,92.5,0.663,0.286,NA
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","ROC",500,73.81,92.5,0.832,0.643,NA
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","KAPPA",617,85.714,96.25,0.834,0.265,NA
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","TSS",617,85.714,96.25,0.82,0.255,NA
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","ROC",620,85.714,96.25,0.966,0.85,NA
"Acacia_PA1_RUN1_RF","PA1","RUN1","RF","KAPPA",373.5,100,95,0.929,0.739,NA
"Acacia_PA1_RUN1_RF","PA1","RUN1","RF","TSS",373.5,100,95,0.95,0.8,NA
"Acacia_PA1_RUN1_RF","PA1","RUN1","RF","ROC",371,100,95,0.994,0.914,NA
"Acacia_PA1_RUN1_GAM","PA1","RUN1","GAM","KAPPA",500,100,100,1,0.497,NA
"Acacia_PA1_RUN1_GAM","PA1","RUN1","GAM","TSS",500,100,100,1,0.486,NA
"Acacia_PA1_RUN1_GAM","PA1","RUN1","GAM","ROC",502.5,100,100,1,0.775,NA
"Acacia_PA1_RUN2_GLM","PA1","RUN2","GLM","KAPPA",515,97.619,90,0.843,0.559,NA
"Acacia_PA1_RUN2_GLM","PA1","RUN2","GLM","TSS",515,97.619,90,0.876,0.536,NA
"Acacia_PA1_RUN2_GLM","PA1","RUN2","GLM","ROC",517.5,97.619,90,0.972,0.936,NA
"Acacia_PA1_RUN2_GBM","PA1","RUN2","GBM","KAPPA",623,90.476,93.75,0.855,0.853,NA
"Acacia_PA1_RUN2_GBM","PA1","RUN2","GBM","TSS",623,90.476,93.75,0.855,0.818,NA
"Acacia_PA1_RUN2_GBM","PA1","RUN2","GBM","ROC",623.5,90.476,95,0.977,0.982,NA
"Acacia_PA1_RUN2_RF","PA1","RUN2","RF","KAPPA",563,90.476,98.75,0.908,0.853,NA
"Acacia_PA1_RUN2_RF","PA1","RUN2","RF","TSS",402,100,91.25,0.913,0.95,NA
"Acacia_PA1_RUN2_RF","PA1","RUN2","RF","ROC",404,100,91.25,0.992,0.995,NA
"Acacia_PA1_RUN2_GAM","PA1","RUN2","GAM","KAPPA",500,100,100,1,0.859,NA
"Acacia_PA1_RUN2_GAM","PA1","RUN2","GAM","TSS",500,100,100,1,0.859,NA
"Acacia_PA1_RUN2_GAM","PA1","RUN2","GAM","ROC",501,100,100,1,0.93,NA
"Acacia_PA2_RUN1_GLM","PA2","RUN1","GLM","KAPPA",402,97.619,70,0.598,0.517,NA
"Acacia_PA2_RUN1_GLM","PA2","RUN1","GLM","TSS",402,97.619,70,0.676,0.527,NA
"Acacia_PA2_RUN1_GLM","PA2","RUN1","GLM","ROC",400,97.619,70,0.881,0.795,NA
"Acacia_PA2_RUN1_GBM","PA2","RUN1","GBM","KAPPA",577,97.619,92.5,0.876,0.517,NA
"Acacia_PA2_RUN1_GBM","PA2","RUN1","GBM","TSS",577,97.619,92.5,0.901,0.527,NA
"Acacia_PA2_RUN1_GBM","PA2","RUN1","GBM","ROC",578.5,97.619,92.5,0.981,0.902,NA
"Acacia_PA2_RUN1_RF","PA2","RUN1","RF","KAPPA",533,97.619,98.75,0.964,0.559,NA
"Acacia_PA2_RUN1_RF","PA2","RUN1","RF","TSS",533,97.619,98.75,0.964,0.536,NA
"Acacia_PA2_RUN1_RF","PA2","RUN1","RF","ROC",532,97.619,98.75,0.997,0.877,NA
"Acacia_PA2_RUN1_GAM","PA2","RUN1","GAM","KAPPA",500,100,100,1,0.497,NA
"Acacia_PA2_RUN1_GAM","PA2","RUN1","GAM","TSS",500,100,100,1,0.486,NA
"Acacia_PA2_RUN1_GAM","PA2","RUN1","GAM","ROC",501,100,100,1,0.734,NA
"Acacia_PA2_RUN2_GLM","PA2","RUN2","GLM","KAPPA",494,95.238,87.5,0.792,0.517,NA
"Acacia_PA2_RUN2_GLM","PA2","RUN2","GLM","TSS",373,100,83.75,0.837,0.527,NA
"Acacia_PA2_RUN2_GLM","PA2","RUN2","GLM","ROC",371,100,83.75,0.954,0.773,NA
"Acacia_PA2_RUN2_GBM","PA2","RUN2","GBM","KAPPA",484,100,92.5,0.895,0.718,NA
"Acacia_PA2_RUN2_GBM","PA2","RUN2","GBM","TSS",484,100,92.5,0.925,0.718,NA
"Acacia_PA2_RUN2_GBM","PA2","RUN2","GBM","ROC",482.5,100,92.5,0.985,0.9,NA
"Acacia_PA2_RUN2_RF","PA2","RUN2","RF","KAPPA",565,97.619,97.5,0.946,0.706,NA
"Acacia_PA2_RUN2_RF","PA2","RUN2","RF","TSS",565,97.619,97.5,0.951,0.677,NA
"Acacia_PA2_RUN2_RF","PA2","RUN2","RF","ROC",565,97.619,97.5,0.997,0.877,NA
"Acacia_PA2_RUN2_GAM","PA2","RUN2","GAM","KAPPA",495,100,100,1,0.577,NA
"Acacia_PA2_RUN2_GAM","PA2","RUN2","GAM","TSS",495,100,100,1,0.577,NA
"Acacia_PA2_RUN2_GAM","PA2","RUN2","GAM","ROC",500,100,100,1,0.789,NA
