"full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"Acacia_PA1_RUN1_RF","PA1","RUN1","RF","KAPPA",476,100,96.25,0.946,0.853,NA
"Acacia_PA1_RUN1_RF","PA1","RUN1","RF","TSS",476,100,96.25,0.962,0.818,NA
"Acacia_PA1_RUN1_RF","PA1","RUN1","RF","ROC",475,100,96.25,0.996,0.986,NA
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","KAPPA",602,90.476,93.75,0.838,0.793,NA
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","TSS",530,97.619,87.5,0.851,0.759,NA
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","ROC",608,90.476,95,0.973,0.955,NA
"Acacia_PA1_RUN2_RF","PA1","RUN2","RF","KAPPA",503,100,96.25,0.946,0.784,NA
"Acacia_PA1_RUN2_RF","PA1","RUN2","RF","TSS",503,100,96.25,0.962,0.768,NA
"Acacia_PA1_RUN2_RF","PA1","RUN2","RF","ROC",501,100,96.25,0.996,0.991,NA
"Acacia_PA1_RUN2_GBM","PA1","RUN2","GBM","KAPPA",568,90.476,92.5,0.82,0.625,NA
"Acacia_PA1_RUN2_GBM","PA1","RUN2","GBM","TSS",484,97.619,86.25,0.839,0.718,NA
"Acacia_PA1_RUN2_GBM","PA1","RUN2","GBM","ROC",485.5,97.619,86.25,0.969,0.941,NA
"Acacia_PA1_RUN3_RF","PA1","RUN3","RF","KAPPA",431,100,96.25,0.946,0.853,NA
"Acacia_PA1_RUN3_RF","PA1","RUN3","RF","TSS",431,100,96.25,0.962,0.818,NA
"Acacia_PA1_RUN3_RF","PA1","RUN3","RF","ROC",427,100,96.25,0.997,0.986,NA
"Acacia_PA1_RUN3_GBM","PA1","RUN3","GBM","KAPPA",614,88.095,93.75,0.818,0.853,NA
"Acacia_PA1_RUN3_GBM","PA1","RUN3","GBM","TSS",540,95.238,88.75,0.84,0.909,NA
"Acacia_PA1_RUN3_GBM","PA1","RUN3","GBM","ROC",539,95.238,88.75,0.97,0.986,NA
"Acacia_PA2_RUN1_RF","PA2","RUN1","RF","KAPPA",441,97.619,92.5,0.876,0.793,NA
"Acacia_PA2_RUN1_RF","PA2","RUN1","RF","TSS",441,97.619,92.5,0.901,0.809,NA
"Acacia_PA2_RUN1_RF","PA2","RUN1","RF","ROC",440,97.619,92.5,0.989,0.932,NA
"Acacia_PA2_RUN1_GBM","PA2","RUN1","GBM","KAPPA",599,83.333,91.25,0.746,0.625,NA
"Acacia_PA2_RUN1_GBM","PA2","RUN1","GBM","TSS",528,92.857,85,0.779,0.677,NA
"Acacia_PA2_RUN1_GBM","PA2","RUN1","GBM","ROC",527,92.857,85,0.95,0.936,NA
