"full.name","PA","run","algo","expl.var","rand","var.imp"
"Acacia_PA1_RUN1_RF","PA1","RUN1","RF","bio3",1,0.111399
"Acacia_PA1_RUN1_RF","PA1","RUN1","RF","bio4",1,0.260463
"Acacia_PA1_RUN1_RF","PA1","RUN1","RF","bio2",1,0.117928
"Acacia_PA1_RUN1_RF","PA1","RUN1","RF","bio6",1,0.175702
"Acacia_PA1_RUN1_RF","PA1","RUN1","RF","bio3",2,0.115502
"Acacia_PA1_RUN1_RF","PA1","RUN1","RF","bio4",2,0.282528
"Acacia_PA1_RUN1_RF","PA1","RUN1","RF","bio2",2,0.131032
"Acacia_PA1_RUN1_RF","PA1","RUN1","RF","bio6",2,0.152858
"Acacia_PA1_RUN1_RF","PA1","RUN1","RF","bio3",3,0.125442
"Acacia_PA1_RUN1_RF","PA1","RUN1","RF","bio4",3,0.238862
"Acacia_PA1_RUN1_RF","PA1","RUN1","RF","bio2",3,0.135483
"Acacia_PA1_RUN1_RF","PA1","RUN1","RF","bio6",3,0.224597
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","bio3",1,0.016753
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","bio4",1,0.414752
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","bio2",1,0.05936
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","bio6",1,0.142603
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","bio3",2,0.020163
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","bio4",2,0.464406
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","bio2",2,0.068909
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","bio6",2,0.185045
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","bio3",3,0.018131
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","bio4",3,0.387369
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","bio2",3,0.061731
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","bio6",3,0.190996
"Acacia_PA1_RUN2_RF","PA1","RUN2","RF","bio3",1,0.14576
"Acacia_PA1_RUN2_RF","PA1","RUN2","RF","bio4",1,0.262993
"Acacia_PA1_RUN2_RF","PA1","RUN2","RF","bio2",1,0.108004
"Acacia_PA1_RUN2_RF","PA1","RUN2","RF","bio6",1,0.111463
"Acacia_PA1_RUN2_RF","PA1","RUN2","RF","bio3",2,0.193291
"Acacia_PA1_RUN2_RF","PA1","RUN2","RF","bio4",2,0.22631
"Acacia_PA1_RUN2_RF","PA1","RUN2","RF","bio2",2,0.109304
"Acacia_PA1_RUN2_RF","PA1","RUN2","RF","bio6",2,0.219527
"Acacia_PA1_RUN2_RF","PA1","RUN2","RF","bio3",3,0.17358
"Acacia_PA1_RUN2_RF","PA1","RUN2","RF","bio4",3,0.258617
