"full.name","PA","run","algo","expl.var","rand","var.imp"
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio14",1,0
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio15",1,0
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio18",1,0.584684
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio2",1,0.711225
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio3",1,0
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio4",1,0
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio6",1,0.537227
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio7",1,0.745412
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio14",2,0
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio15",2,0
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio18",2,0.521079
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio2",2,0.75
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio3",2,0
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio4",2,0
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio6",2,0.654614
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio7",2,0.781782
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio14",3,0
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio15",3,0
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio18",3,0.580857
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio2",3,0.740918
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio3",3,0
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio4",3,0
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio6",3,0.59289
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio7",3,0.894627
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio14",1,0.017234
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio15",1,0.00783900000000004
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio18",1,0.012335
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio2",1,0.02119
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio3",1,0.258797
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio4",1,0.143985
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio6",1,0.00379799999999997
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio7",1,0.00209000000000004
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio14",2,0.016051
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio15",2,0.00733200000000001
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio18",2,0.012298
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio2",2,0.017041
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio3",2,0.23766
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio4",2,0.13621
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio6",2,0.00359799999999999
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio7",2,0.00272899999999998
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio14",3,0.015443
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio15",3,0.00853599999999999
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio18",3,0.011591
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio2",3,0.020393
