"full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","KAPPA",441,95.238,62.5,0.498,0.395,NA
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","TSS",441,95.238,62.5,0.577,0.459,NA
"Acacia_PA1_RUN1_GLM","PA1","RUN1","GLM","ROC",453,92.857,65,0.822,0.755,NA
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","KAPPA",491,97.619,91.25,0.86,0.459,NA
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","TSS",491,97.619,91.25,0.889,0.477,NA
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","ROC",492,97.619,91.25,0.983,0.836,NA
"Acacia_PA1_RUN1_RF","PA1","RUN1","RF","KAPPA",484,100,97.5,0.964,0.64,NA
"Acacia_PA1_RUN1_RF","PA1","RUN1","RF","TSS",484,100,97.5,0.975,0.627,NA
"Acacia_PA1_RUN1_RF","PA1","RUN1","RF","ROC",483,100,97.5,0.999,0.809,NA
"Acacia_PA1_RUN2_GLM","PA1","RUN2","GLM","KAPPA",607,73.81,85,0.585,0.379,NA
"Acacia_PA1_RUN2_GLM","PA1","RUN2","GLM","TSS",607,73.81,85,0.588,0.386,NA
"Acacia_PA1_RUN2_GLM","PA1","RUN2","GLM","ROC",608.5,73.81,85,0.843,0.755,NA
"Acacia_PA1_RUN2_GBM","PA1","RUN2","GBM","KAPPA",513,92.857,95,0.874,0.412,NA
"Acacia_PA1_RUN2_GBM","PA1","RUN2","GBM","TSS",513,92.857,95,0.879,0.395,NA
"Acacia_PA1_RUN2_GBM","PA1","RUN2","GBM","ROC",512.5,92.857,95,0.984,0.748,NA
"Acacia_PA1_RUN2_RF","PA1","RUN2","RF","KAPPA",395,100,98.75,0.982,0.436,NA
"Acacia_PA1_RUN2_RF","PA1","RUN2","RF","TSS",395,100,98.75,0.988,0.436,NA
"Acacia_PA1_RUN2_RF","PA1","RUN2","RF","ROC",393,100,98.75,1,0.75,NA
"Acacia_PA2_RUN1_GLM","PA2","RUN1","GLM","KAPPA",394,92.857,58.75,0.441,0.367,NA
"Acacia_PA2_RUN1_GLM","PA2","RUN1","GLM","TSS",394,92.857,58.75,0.516,0.45,NA
"Acacia_PA2_RUN1_GLM","PA2","RUN1","GLM","ROC",396.5,92.857,60,0.812,0.759,NA
"Acacia_PA2_RUN1_GBM","PA2","RUN1","GBM","KAPPA",504,92.857,90,0.822,0.569,NA
"Acacia_PA2_RUN1_GBM","PA2","RUN1","GBM","TSS",504,92.857,90,0.841,0.65,NA
"Acacia_PA2_RUN1_GBM","PA2","RUN1","GBM","ROC",504.5,92.857,91.25,0.977,1,NA
"Acacia_PA2_RUN1_RF","PA2","RUN1","RF","KAPPA",511,97.619,98.75,0.964,1,NA
"Acacia_PA2_RUN1_RF","PA2","RUN1","RF","TSS",511,97.619,98.75,0.964,1,NA
"Acacia_PA2_RUN1_RF","PA2","RUN1","RF","ROC",510,97.619,98.75,0.997,1,NA
"Acacia_PA2_RUN2_GLM","PA2","RUN2","GLM","KAPPA",544,73.81,77.5,0.494,0.137,NA
"Acacia_PA2_RUN2_GLM","PA2","RUN2","GLM","TSS",382,92.857,58.75,0.516,0.227,NA
"Acacia_PA2_RUN2_GLM","PA2","RUN2","GLM","ROC",380.5,92.857,58.75,0.805,0.614,NA
"Acacia_PA2_RUN2_GBM","PA2","RUN2","GBM","KAPPA",508,90.476,95,0.872,0.412,NA
"Acacia_PA2_RUN2_GBM","PA2","RUN2","GBM","TSS",481,95.238,92.5,0.877,0.618,NA
"Acacia_PA2_RUN2_GBM","PA2","RUN2","GBM","ROC",482.5,95.238,92.5,0.977,0.845,NA
"Acacia_PA2_RUN2_RF","PA2","RUN2","RF","KAPPA",439,100,97.5,0.964,0.265,NA
"Acacia_PA2_RUN2_RF","PA2","RUN2","RF","TSS",439,100,97.5,0.975,0.255,NA
"Acacia_PA2_RUN2_RF","PA2","RUN2","RF","ROC",439,100,97.5,0.995,0.78,NA
