"algo","expl.var","Mean_Importance"
"GBM","bio14","0.012315667"
"GBM","bio15","0.001326556"
"GBM","bio18","0.001975074"
"GBM","bio2","0.045727000"
"GBM","bio3","0.031382370"
"GBM","bio4","0.301796074"
"GBM","bio6","0.008187074"
"GBM","bio7","0.003592259"
"GBM","ndvi","0.011551630"
"GBM","pop","0.063979926"
"RF","bio14","0.015006630"
"RF","bio15","0.005673148"
"RF","bio18","0.007022333"
"RF","bio2","0.033790259"
"RF","bio3","0.046880852"
"RF","bio4","0.118291815"
"RF","bio6","0.017439593"
"RF","bio7","0.007309519"
"RF","ndvi","0.014312481"
"RF","pop","0.036020000"
