"full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"Acacia_PA1_RUN1_RF","PA1","RUN1","RF","KAPPA",424,100,98.75,0.982,0.559,NA
"Acacia_PA1_RUN1_RF","PA1","RUN1","RF","TSS",424,100,98.75,0.988,0.536,NA
"Acacia_PA1_RUN1_RF","PA1","RUN1","RF","ROC",421,100,98.75,1,0.923,NA
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","KAPPA",578,95.238,95,0.892,0.412,NA
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","TSS",578,95.238,95,0.902,0.395,NA
"Acacia_PA1_RUN1_GBM","PA1","RUN1","GBM","ROC",577.5,95.238,95,0.99,0.891,NA
"Acacia_PA1_RUN2_RF","PA1","RUN2","RF","KAPPA",540,100,100,1,0.729,NA
"Acacia_PA1_RUN2_RF","PA1","RUN2","RF","TSS",540,100,100,1,0.759,NA
"Acacia_PA1_RUN2_RF","PA1","RUN2","RF","ROC",543,100,100,1,0.934,NA
"Acacia_PA1_RUN2_GBM","PA1","RUN2","GBM","KAPPA",591.5,90.476,95,0.855,0.349,NA
"Acacia_PA1_RUN2_GBM","PA1","RUN2","GBM","TSS",479,100,88.75,0.887,0.459,NA
"Acacia_PA1_RUN2_GBM","PA1","RUN2","GBM","ROC",568,97.619,92.5,0.987,0.845,NA
"Acacia_PA1_RUN3_RF","PA1","RUN3","RF","KAPPA",464,100,100,1,0.729,NA
"Acacia_PA1_RUN3_RF","PA1","RUN3","RF","TSS",464,100,100,1,0.759,NA
"Acacia_PA1_RUN3_RF","PA1","RUN3","RF","ROC",465,100,100,1,0.941,NA
"Acacia_PA1_RUN3_GBM","PA1","RUN3","GBM","KAPPA",500,100,90,0.861,0.479,NA
"Acacia_PA1_RUN3_GBM","PA1","RUN3","GBM","TSS",500,100,90,0.9,0.518,NA
"Acacia_PA1_RUN3_GBM","PA1","RUN3","GBM","ROC",566.5,97.619,92.5,0.988,0.923,NA
"Acacia_PA2_RUN1_RF","PA2","RUN1","RF","KAPPA",505,100,100,1,0.853,NA
"Acacia_PA2_RUN1_RF","PA2","RUN1","RF","TSS",505,100,100,1,0.818,NA
"Acacia_PA2_RUN1_RF","PA2","RUN1","RF","ROC",504,100,100,1,0.973,NA
"Acacia_PA2_RUN1_GBM","PA2","RUN1","GBM","KAPPA",522,97.619,95,0.911,0.775,NA
"Acacia_PA2_RUN1_GBM","PA2","RUN1","GBM","TSS",522,97.619,95,0.926,0.727,NA
"Acacia_PA2_RUN1_GBM","PA2","RUN1","GBM","ROC",521,97.619,95,0.99,0.975,NA
"Acacia_PA2_RUN2_RF","PA2","RUN2","RF","KAPPA",444,100,98.75,0.982,0.323,NA
"Acacia_PA2_RUN2_RF","PA2","RUN2","RF","TSS",444,100,98.75,0.988,0.336,NA
"Acacia_PA2_RUN2_RF","PA2","RUN2","RF","ROC",440,100,98.75,1,0.859,NA
"Acacia_PA2_RUN2_GBM","PA2","RUN2","GBM","KAPPA",581,92.857,97.5,0.909,0.241,NA
"Acacia_PA2_RUN2_GBM","PA2","RUN2","GBM","TSS",581,92.857,97.5,0.904,0.245,NA
"Acacia_PA2_RUN2_GBM","PA2","RUN2","GBM","ROC",583,92.857,97.5,0.99,0.8,NA
"Acacia_PA2_RUN3_RF","PA2","RUN3","RF","KAPPA",510,100,100,1,0.655,NA
"Acacia_PA2_RUN3_RF","PA2","RUN3","RF","TSS",510,100,100,1,0.668,NA
"Acacia_PA2_RUN3_RF","PA2","RUN3","RF","ROC",509,100,100,1,0.955,NA
"Acacia_PA2_RUN3_GBM","PA2","RUN3","GBM","KAPPA",520,95.238,95,0.892,0.729,NA
"Acacia_PA2_RUN3_GBM","PA2","RUN3","GBM","TSS",520,95.238,95,0.902,0.759,NA
"Acacia_PA2_RUN3_GBM","PA2","RUN3","GBM","ROC",520,95.238,95,0.99,0.936,NA
"Acacia_PA3_RUN1_RF","PA3","RUN1","RF","KAPPA",494,100,100,1,0.784,NA
"Acacia_PA3_RUN1_RF","PA3","RUN1","RF","TSS",494,100,100,1,0.768,NA
"Acacia_PA3_RUN1_RF","PA3","RUN1","RF","ROC",490,100,100,1,0.95,NA
"Acacia_PA3_RUN1_GBM","PA3","RUN1","GBM","KAPPA",596,90.476,97.5,0.89,0.54,NA
"Acacia_PA3_RUN1_GBM","PA3","RUN1","GBM","TSS",551,97.619,92.5,0.901,0.586,NA
"Acacia_PA3_RUN1_GBM","PA3","RUN1","GBM","ROC",551,97.619,92.5,0.989,0.923,NA
"Acacia_PA3_RUN2_RF","PA3","RUN2","RF","KAPPA",521,100,100,1,0.609,NA
