"full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","KAPPA",495,97.959,95.5,0.88,0.833,NA
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","TSS",495,97.959,95.5,0.935,0.87,NA
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","ROC",500,97.959,95.5,0.967,0.935,NA
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","KAPPA",574.5,96.939,98.5,0.943,0.869,NA
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","TSS",498,98.98,97,0.96,0.91,NA
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","ROC",500.5,98.98,97,0.998,0.971,NA
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","KAPPA",278,100,98.5,0.963,0.869,NA
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","TSS",278,100,98.5,0.985,0.83,NA
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","ROC",276,100,98.5,0.999,0.975,NA
"Opuntia_PA1_RUN1_GAM","PA1","RUN1","GAM","KAPPA",545,100,100,1,0.787,NA
"Opuntia_PA1_RUN1_GAM","PA1","RUN1","GAM","TSS",545,100,100,1,0.74,NA
"Opuntia_PA1_RUN1_GAM","PA1","RUN1","GAM","ROC",544.5,100,100,1,0.908,NA
"Opuntia_PA1_RUN2_GLM","PA1","RUN2","GLM","KAPPA",651.5,100,98.75,0.969,0.924,NA
"Opuntia_PA1_RUN2_GLM","PA1","RUN2","GLM","TSS",651.5,100,98.75,0.988,0.91,NA
"Opuntia_PA1_RUN2_GLM","PA1","RUN2","GLM","ROC",651.5,100,98.75,0.997,0.976,NA
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","KAPPA",642,93.878,99.25,0.942,0.924,NA
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","TSS",460,100,96.75,0.968,0.93,NA
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","ROC",459,100,96.75,0.998,0.974,NA
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","KAPPA",384,100,98.75,0.969,0.9,NA
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","TSS",384,100,98.75,0.988,0.9,NA
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","ROC",388,100,99,0.999,0.975,NA
"Opuntia_PA1_RUN2_GAM","PA1","RUN2","GAM","KAPPA",510,100,100,1,0.873,NA
"Opuntia_PA1_RUN2_GAM","PA1","RUN2","GAM","TSS",510,100,100,1,0.86,NA
"Opuntia_PA1_RUN2_GAM","PA1","RUN2","GAM","ROC",510,100,100,1,0.929,NA
"Opuntia_PA2_RUN1_GLM","PA2","RUN1","GLM","KAPPA",495,98.98,95.25,0.881,0.828,NA
"Opuntia_PA2_RUN1_GLM","PA2","RUN1","GLM","TSS",495,98.98,95.25,0.942,0.84,NA
"Opuntia_PA2_RUN1_GLM","PA2","RUN1","GLM","ROC",500,98.98,95.25,0.971,0.92,NA
"Opuntia_PA2_RUN1_GBM","PA2","RUN1","GBM","KAPPA",618,97.959,97.75,0.932,0.845,NA
"Opuntia_PA2_RUN1_GBM","PA2","RUN1","GBM","TSS",608,98.98,97.25,0.962,0.86,NA
"Opuntia_PA2_RUN1_GBM","PA2","RUN1","GBM","ROC",608.5,98.98,97.25,0.997,0.928,NA
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","KAPPA",525,98.98,99.25,0.975,0.869,NA
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","TSS",525,98.98,99.25,0.982,0.83,NA
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","ROC",530,98.98,99.25,0.999,0.97,NA
"Opuntia_PA2_RUN1_GAM","PA2","RUN1","GAM","KAPPA",515,100,100,1,0.757,NA
"Opuntia_PA2_RUN1_GAM","PA2","RUN1","GAM","TSS",515,100,100,1,0.7,NA
"Opuntia_PA2_RUN1_GAM","PA2","RUN1","GAM","ROC",518.5,100,100,1,0.849,NA
"Opuntia_PA2_RUN2_GLM","PA2","RUN2","GLM","KAPPA",752.5,96.939,98,0.931,0.858,NA
"Opuntia_PA2_RUN2_GLM","PA2","RUN2","GLM","TSS",475,98.98,96.75,0.957,0.89,NA
"Opuntia_PA2_RUN2_GLM","PA2","RUN2","GLM","ROC",475,98.98,96.75,0.995,0.972,NA
"Opuntia_PA2_RUN2_GBM","PA2","RUN2","GBM","KAPPA",653,96.939,98.25,0.937,0.858,NA
"Opuntia_PA2_RUN2_GBM","PA2","RUN2","GBM","TSS",653,96.939,98.25,0.952,0.91,NA
"Opuntia_PA2_RUN2_GBM","PA2","RUN2","GBM","ROC",652.5,96.939,98.25,0.997,0.978,NA
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","KAPPA",556,96.939,99.75,0.974,0.88,NA
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","TSS",207,100,97.25,0.973,0.9,NA
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","ROC",209,100,97.25,0.999,0.982,NA
"Opuntia_PA2_RUN2_GAM","PA2","RUN2","GAM","KAPPA",500,100,100,1,0.854,NA
"Opuntia_PA2_RUN2_GAM","PA2","RUN2","GAM","TSS",500,100,100,1,0.88,NA
"Opuntia_PA2_RUN2_GAM","PA2","RUN2","GAM","ROC",500.5,100,100,1,0.959,NA
