"full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","KAPPA",434,100,99.5,0.987,0.948,NA
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","TSS",434,100,99.5,0.995,0.92,NA
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","ROC",439,100,99.5,1,0.976,NA
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","KAPPA",661,97.959,99.25,0.968,0.948,NA
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","TSS",661,97.959,99.25,0.972,0.92,NA
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","ROC",661.5,97.959,99.25,0.999,0.977,NA
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","KAPPA",444,97.959,99.5,0.975,0.975,NA
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","TSS",273,100,98.5,0.985,0.93,NA
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","ROC",274,100,98.5,1,1,NA
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","KAPPA",693,95.918,99.25,0.955,0.951,NA
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","TSS",360,100,95.5,0.955,0.89,NA
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","ROC",361,100,95.5,0.998,1,NA
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","KAPPA",465,98.98,99.75,0.987,0.926,NA
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","TSS",313,100,99.25,0.993,0.92,NA
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","ROC",309,100,99.25,1,0.996,NA
"Opuntia_PA1_RUN3_GBM","PA1","RUN3","GBM","KAPPA",731,96.939,99.25,0.962,0.877,NA
"Opuntia_PA1_RUN3_GBM","PA1","RUN3","GBM","TSS",382,98.98,97,0.962,0.9,NA
"Opuntia_PA1_RUN3_GBM","PA1","RUN3","GBM","ROC",384.5,98.98,97.25,0.999,0.993,NA
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","KAPPA",162,100,99.5,0.987,0.951,NA
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","TSS",162,100,99.5,0.995,0.98,NA
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","ROC",164,100,99.5,1,1,NA
"Opuntia_PA2_RUN1_GBM","PA2","RUN1","GBM","KAPPA",747.5,96.939,99.75,0.974,0.921,NA
"Opuntia_PA2_RUN1_GBM","PA2","RUN1","GBM","TSS",361.5,100,97,0.97,0.98,NA
"Opuntia_PA2_RUN1_GBM","PA2","RUN1","GBM","ROC",363,100,97,0.999,1,NA
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","KAPPA",273,100,99.5,0.987,0.95,NA
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","TSS",273,100,99.5,0.995,0.95,NA
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","ROC",273,100,99.5,1,0.978,NA
"Opuntia_PA2_RUN2_GBM","PA2","RUN2","GBM","KAPPA",667,96.939,99.5,0.968,0.975,NA
"Opuntia_PA2_RUN2_GBM","PA2","RUN2","GBM","TSS",478,100,98,0.98,0.95,NA
"Opuntia_PA2_RUN2_GBM","PA2","RUN2","GBM","ROC",480,100,98,0.999,0.979,NA
"Opuntia_PA2_RUN3_RF","PA2","RUN3","RF","KAPPA",212,100,98.75,0.981,0.975,NA
"Opuntia_PA2_RUN3_RF","PA2","RUN3","RF","TSS",212,100,98.75,0.993,0.99,NA
"Opuntia_PA2_RUN3_RF","PA2","RUN3","RF","ROC",213,100,99.25,1,1,NA
"Opuntia_PA2_RUN3_GBM","PA2","RUN3","GBM","KAPPA",654,95.918,99.5,0.962,1,NA
"Opuntia_PA2_RUN3_GBM","PA2","RUN3","GBM","TSS",484,98.98,98,0.97,0.99,NA
"Opuntia_PA2_RUN3_GBM","PA2","RUN3","GBM","ROC",486.5,98.98,98,0.999,1,NA
"Opuntia_PA3_RUN1_RF","PA3","RUN1","RF","KAPPA",631,97.959,99.5,0.975,0.926,NA
"Opuntia_PA3_RUN1_RF","PA3","RUN1","RF","TSS",354,100,98.25,0.982,0.98,NA
"Opuntia_PA3_RUN1_RF","PA3","RUN1","RF","ROC",352,100,98.25,0.999,0.998,NA
"Opuntia_PA3_RUN1_GBM","PA3","RUN1","GBM","KAPPA",731,95.918,99.25,0.955,0.926,NA
"Opuntia_PA3_RUN1_GBM","PA3","RUN1","GBM","TSS",502.5,98.98,97,0.96,0.93,NA
"Opuntia_PA3_RUN1_GBM","PA3","RUN1","GBM","ROC",505,98.98,97,0.997,0.996,NA
"Opuntia_PA3_RUN2_RF","PA3","RUN2","RF","KAPPA",692,96.939,99.5,0.968,0.924,NA
"Opuntia_PA3_RUN2_RF","PA3","RUN2","RF","TSS",308,100,98,0.98,0.91,NA
"Opuntia_PA3_RUN2_RF","PA3","RUN2","RF","ROC",307,100,98,0.999,0.994,NA
"Opuntia_PA3_RUN2_GBM","PA3","RUN2","GBM","KAPPA",693,97.959,98.5,0.95,0.924,NA
"Opuntia_PA3_RUN2_GBM","PA3","RUN2","GBM","TSS",370,100,96.5,0.965,0.9,NA
"Opuntia_PA3_RUN2_GBM","PA3","RUN2","GBM","ROC",374,100,96.75,0.998,0.996,NA
"Opuntia_PA3_RUN3_RF","PA3","RUN3","RF","KAPPA",621,96.939,100,0.981,0.84,NA
"Opuntia_PA3_RUN3_RF","PA3","RUN3","RF","TSS",273,100,98,0.98,0.95,NA
"Opuntia_PA3_RUN3_RF","PA3","RUN3","RF","ROC",272,100,98,0.999,0.99,NA
"Opuntia_PA3_RUN3_GBM","PA3","RUN3","GBM","KAPPA",738,92.857,99.5,0.942,0.869,NA
"Opuntia_PA3_RUN3_GBM","PA3","RUN3","GBM","TSS",380,100,95.75,0.958,0.92,NA
"Opuntia_PA3_RUN3_GBM","PA3","RUN3","GBM","ROC",381.5,100,95.75,0.998,0.991,NA
