"full.name","PA","run","algo","expl.var","rand","var.imp"
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio15",1,0.275597
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio4",1,0.0437380000000001
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio7",1,0.04254
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio6",1,0.060161
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio15",2,0.293193
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio4",2,0.042234
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio7",2,0.042915
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio6",2,0.060577
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio15",3,0.2886
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio4",3,0.043581
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio7",3,0.045026
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio6",3,0.056573
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","bio15",1,0.619933
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","bio4",1,0.002027
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","bio7",1,0.00685100000000005
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","bio6",1,0.028716
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","bio15",2,0.585293
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","bio4",2,0.00237100000000001
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","bio7",2,0.00711899999999999
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","bio6",2,0.030051
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","bio15",3,0.577426
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","bio4",3,0.00223200000000001
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","bio7",3,0.00718200000000002
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","bio6",3,0.030128
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio15",1,0.199635
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio4",1,0.046059
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio7",1,0.048565
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio6",1,0.056167
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio15",2,0.213938
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio4",2,0.04672
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio7",2,0.055011
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio6",2,0.057917
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio15",3,0.198274
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio4",3,0.04504
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio7",3,0.055086
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio6",3,0.056507
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","bio15",1,0.594802
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","bio4",1,0.024934
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","bio7",1,0.00625100000000001
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","bio6",1,0.028173
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","bio15",2,0.592605
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","bio4",2,0.023708
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","bio7",2,0.00822900000000004
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","bio6",2,0.03057
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","bio15",3,0.586299
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","bio4",3,0.024911
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","bio7",3,0.00606899999999999
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","bio6",3,0.033892
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","bio15",1,0.222436
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","bio4",1,0.0358270000000001
