"full.name","PA","run","algo","expl.var","rand","var.imp"
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio14",1,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio15",1,0.71212
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio18",1,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio2",1,0.689779
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio3",1,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio4",1,0.596435
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio6",1,0.09324
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio7",1,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio14",2,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio15",2,0.648123
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio18",2,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio2",2,0.688465
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio3",2,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio4",2,0.553722
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio6",2,0.126666
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio7",2,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio14",3,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio15",3,0.677099
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio18",3,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio2",3,0.65965
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio3",3,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio4",3,0.53568
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio6",3,0.120777
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio7",3,0
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio14",1,0.000107999999999997
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio15",1,0.114284
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio18",1,0.00094099999999997
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio2",1,0.014052
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio3",1,0.00011899999999998
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio4",1,0.092233
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio6",1,0.01273
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio7",1,0.00569799999999998
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio14",2,0.000114999999999976
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio15",2,0.111867
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio18",2,0.000839000000000034
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio2",2,0.0133
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio3",2,0.000109000000000026
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio4",2,0.085149
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio6",2,0.013463
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio7",2,0.00587400000000005
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio14",3,0.000113999999999947
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio15",3,0.114853
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio18",3,0.000770000000000048
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio2",3,0.01234
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio3",3,9.80000000000425e-05
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio4",3,0.087618
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio6",3,0.01206
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio7",3,0.00602800000000003
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio14",1,0.014699
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio15",1,0.042385
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio18",1,0.00999700000000003
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio2",1,0.01771
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio3",1,0.00537799999999999
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio4",1,0.04452
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio6",1,0.024967
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio7",1,0.035231
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio14",2,0.013556
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio15",2,0.044754
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio18",2,0.010345
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio2",2,0.019217
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio3",2,0.00552600000000003
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio4",2,0.040783
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio6",2,0.023004
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio7",2,0.038238
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio14",3,0.014522
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio15",3,0.043384
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio18",3,0.01139
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio2",3,0.017852
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio3",3,0.00604800000000005
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio4",3,0.048822
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio6",3,0.02362
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio7",3,0.041293
"Opuntia_PA1_RUN1_GAM","PA1","RUN1","GAM","worldclim_KE_bio14",1,0.053237
"Opuntia_PA1_RUN1_GAM","PA1","RUN1","GAM","worldclim_KE_bio15",1,0.870648
"Opuntia_PA1_RUN1_GAM","PA1","RUN1","GAM","worldclim_KE_bio18",1,0.105499
"Opuntia_PA1_RUN1_GAM","PA1","RUN1","GAM","worldclim_KE_bio2",1,0.336954
"Opuntia_PA1_RUN1_GAM","PA1","RUN1","GAM","worldclim_KE_bio3",1,0.522308
"Opuntia_PA1_RUN1_GAM","PA1","RUN1","GAM","worldclim_KE_bio4",1,0.448806
"Opuntia_PA1_RUN1_GAM","PA1","RUN1","GAM","worldclim_KE_bio6",1,0.159414
"Opuntia_PA1_RUN1_GAM","PA1","RUN1","GAM","worldclim_KE_bio7",1,0.354245
"Opuntia_PA1_RUN1_GAM","PA1","RUN1","GAM","worldclim_KE_bio14",2,0.035785
"Opuntia_PA1_RUN1_GAM","PA1","RUN1","GAM","worldclim_KE_bio15",2,0.858277
"Opuntia_PA1_RUN1_GAM","PA1","RUN1","GAM","worldclim_KE_bio18",2,0.097278
"Opuntia_PA1_RUN1_GAM","PA1","RUN1","GAM","worldclim_KE_bio2",2,0.35825
"Opuntia_PA1_RUN1_GAM","PA1","RUN1","GAM","worldclim_KE_bio3",2,0.568681
"Opuntia_PA1_RUN1_GAM","PA1","RUN1","GAM","worldclim_KE_bio4",2,0.356245
"Opuntia_PA1_RUN1_GAM","PA1","RUN1","GAM","worldclim_KE_bio6",2,0.146486
"Opuntia_PA1_RUN1_GAM","PA1","RUN1","GAM","worldclim_KE_bio7",2,0.386443
"Opuntia_PA1_RUN1_GAM","PA1","RUN1","GAM","worldclim_KE_bio14",3,0.055177
"Opuntia_PA1_RUN1_GAM","PA1","RUN1","GAM","worldclim_KE_bio15",3,0.824216
"Opuntia_PA1_RUN1_GAM","PA1","RUN1","GAM","worldclim_KE_bio18",3,0.090484
"Opuntia_PA1_RUN1_GAM","PA1","RUN1","GAM","worldclim_KE_bio2",3,0.400512
"Opuntia_PA1_RUN1_GAM","PA1","RUN1","GAM","worldclim_KE_bio3",3,0.50283
"Opuntia_PA1_RUN1_GAM","PA1","RUN1","GAM","worldclim_KE_bio4",3,0.381269
