"full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","KAPPA",535,97.059,96.25,0.928,0.903,NA
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","TSS",535,97.059,96.25,0.933,0.91,NA
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","ROC",535,97.059,96.25,0.974,0.983,NA
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","KAPPA",675,96.078,97.5,0.936,0.935,NA
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","TSS",383,100,94.375,0.944,0.885,NA
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","ROC",384.5,100,94.375,0.996,0.996,NA
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","KAPPA",657,97.059,100,0.976,0.935,NA
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","TSS",359,100,97.5,0.975,0.935,NA
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","ROC",358,100,97.5,0.999,0.992,NA
"Opuntia_PA1_RUN2_GLM","PA1","RUN2","GLM","KAPPA",713,95.098,95.625,0.904,0.935,NA
"Opuntia_PA1_RUN2_GLM","PA1","RUN2","GLM","TSS",713,95.098,95.625,0.907,0.935,NA
"Opuntia_PA1_RUN2_GLM","PA1","RUN2","GLM","ROC",715.5,95.098,95.625,0.986,0.971,NA
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","KAPPA",576,97.059,97.5,0.944,0.935,NA
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","TSS",576,97.059,97.5,0.946,0.935,NA
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","ROC",577.5,97.059,97.5,0.997,0.961,NA
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","KAPPA",465,100,98.125,0.976,0.935,NA
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","TSS",465,100,98.125,0.981,0.935,NA
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","ROC",465,100,98.125,0.999,0.965,NA
"Opuntia_PA2_RUN1_GLM","PA2","RUN1","GLM","KAPPA",460,98.039,98.125,0.96,0.813,NA
"Opuntia_PA2_RUN1_GLM","PA2","RUN1","GLM","TSS",460,98.039,98.125,0.962,0.85,NA
"Opuntia_PA2_RUN1_GLM","PA2","RUN1","GLM","ROC",460,98.039,98.125,0.997,0.991,NA
"Opuntia_PA2_RUN1_GBM","PA2","RUN1","GBM","KAPPA",669,96.078,99.375,0.96,0.934,NA
"Opuntia_PA2_RUN1_GBM","PA2","RUN1","GBM","TSS",528,98.039,97.5,0.955,0.95,NA
"Opuntia_PA2_RUN1_GBM","PA2","RUN1","GBM","ROC",527,98.039,97.5,0.998,0.998,NA
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","KAPPA",379,100,98.75,0.984,0.905,NA
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","TSS",379,100,98.75,0.988,0.925,NA
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","ROC",376,100,98.75,1,0.999,NA
"Opuntia_PA2_RUN2_GLM","PA2","RUN2","GLM","KAPPA",682,97.059,98.125,0.952,0.903,NA
"Opuntia_PA2_RUN2_GLM","PA2","RUN2","GLM","TSS",682,97.059,98.125,0.952,0.91,NA
"Opuntia_PA2_RUN2_GLM","PA2","RUN2","GLM","ROC",683,97.059,98.125,0.995,0.997,NA
"Opuntia_PA2_RUN2_GBM","PA2","RUN2","GBM","KAPPA",608,96.078,98.75,0.952,0.968,NA
"Opuntia_PA2_RUN2_GBM","PA2","RUN2","GBM","TSS",608,96.078,98.75,0.948,0.975,NA
"Opuntia_PA2_RUN2_GBM","PA2","RUN2","GBM","ROC",609.5,96.078,98.75,0.998,1,NA
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","KAPPA",394,100,98.75,0.984,0.936,NA
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","TSS",394,100,98.75,0.988,0.95,NA
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","ROC",391,100,98.75,1,1,NA
