"full.name","PA","run","algo","expl.var","rand","var.imp"
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","ndvi_1",1,0.267365
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","pop_pul",1,0.372959
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","ndvi_2",1,0.038667
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","ndvi_1",2,0.256052
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","pop_pul",2,0.367674
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","ndvi_2",2,0.036269
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","ndvi_1",3,0.243849
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","pop_pul",3,0.329302
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","ndvi_2",3,0.044122
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","ndvi_1",1,0.567314
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","pop_pul",1,0.26139
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","ndvi_2",1,0.030409
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","ndvi_1",2,0.572805
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","pop_pul",2,0.256954
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","ndvi_2",2,0.048959
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","ndvi_1",3,0.603399
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","pop_pul",3,0.241249
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","ndvi_2",3,0.040703
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","ndvi_1",1,0.271069
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","pop_pul",1,0.433613
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","ndvi_2",1,0.034314
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","ndvi_1",2,0.284053
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","pop_pul",2,0.462402
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","ndvi_2",2,0.039041
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","ndvi_1",3,0.262758
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","pop_pul",3,0.422368
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","ndvi_2",3,0.041865
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","ndvi_1",1,0.547594
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","pop_pul",1,0.361379
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","ndvi_2",1,0.0335760000000001
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","ndvi_1",2,0.531729
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","pop_pul",2,0.397892
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","ndvi_2",2,0.042088
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","ndvi_1",3,0.612252
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","pop_pul",3,0.355813
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","ndvi_2",3,0.039304
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","ndvi_1",1,0.284981
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","pop_pul",1,0.417461
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","ndvi_2",1,0.049408
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","ndvi_1",2,0.308052
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","pop_pul",2,0.360568
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","ndvi_2",2,0.045383
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","ndvi_1",3,0.324092
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","pop_pul",3,0.355616
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","ndvi_2",3,0.040578
"Opuntia_PA1_RUN3_GBM","PA1","RUN3","GBM","ndvi_1",1,0.607867
"Opuntia_PA1_RUN3_GBM","PA1","RUN3","GBM","pop_pul",1,0.232323
"Opuntia_PA1_RUN3_GBM","PA1","RUN3","GBM","ndvi_2",1,0.039322
"Opuntia_PA1_RUN3_GBM","PA1","RUN3","GBM","ndvi_1",2,0.612895
"Opuntia_PA1_RUN3_GBM","PA1","RUN3","GBM","pop_pul",2,0.260414
"Opuntia_PA1_RUN3_GBM","PA1","RUN3","GBM","ndvi_2",2,0.048722
"Opuntia_PA1_RUN3_GBM","PA1","RUN3","GBM","ndvi_1",3,0.58404
"Opuntia_PA1_RUN3_GBM","PA1","RUN3","GBM","pop_pul",3,0.281158
"Opuntia_PA1_RUN3_GBM","PA1","RUN3","GBM","ndvi_2",3,0.052189
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","ndvi_1",1,0.41364
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","pop_pul",1,0.435823
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","ndvi_2",1,0.050013
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","ndvi_1",2,0.387349
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","pop_pul",2,0.454147
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","ndvi_2",2,0.042631
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","ndvi_1",3,0.386433
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","pop_pul",3,0.384492
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","ndvi_2",3,0.050397
"Opuntia_PA2_RUN1_GBM","PA2","RUN1","GBM","ndvi_1",1,0.492024
"Opuntia_PA2_RUN1_GBM","PA2","RUN1","GBM","pop_pul",1,0.418897
"Opuntia_PA2_RUN1_GBM","PA2","RUN1","GBM","ndvi_2",1,0.069373
"Opuntia_PA2_RUN1_GBM","PA2","RUN1","GBM","ndvi_1",2,0.521788
"Opuntia_PA2_RUN1_GBM","PA2","RUN1","GBM","pop_pul",2,0.393287
"Opuntia_PA2_RUN1_GBM","PA2","RUN1","GBM","ndvi_2",2,0.071539
"Opuntia_PA2_RUN1_GBM","PA2","RUN1","GBM","ndvi_1",3,0.487749
"Opuntia_PA2_RUN1_GBM","PA2","RUN1","GBM","pop_pul",3,0.408879
"Opuntia_PA2_RUN1_GBM","PA2","RUN1","GBM","ndvi_2",3,0.050632
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","ndvi_1",1,0.351078
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","pop_pul",1,0.502043
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","ndvi_2",1,0.049868
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","ndvi_1",2,0.300839
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","pop_pul",2,0.48529
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","ndvi_2",2,0.056711
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","ndvi_1",3,0.284173
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","pop_pul",3,0.369645
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","ndvi_2",3,0.056752
"Opuntia_PA2_RUN2_GBM","PA2","RUN2","GBM","ndvi_1",1,0.581606
"Opuntia_PA2_RUN2_GBM","PA2","RUN2","GBM","pop_pul",1,0.319889
"Opuntia_PA2_RUN2_GBM","PA2","RUN2","GBM","ndvi_2",1,0.0916400000000001
"Opuntia_PA2_RUN2_GBM","PA2","RUN2","GBM","ndvi_1",2,0.670943
"Opuntia_PA2_RUN2_GBM","PA2","RUN2","GBM","pop_pul",2,0.284424
"Opuntia_PA2_RUN2_GBM","PA2","RUN2","GBM","ndvi_2",2,0.084691
"Opuntia_PA2_RUN2_GBM","PA2","RUN2","GBM","ndvi_1",3,0.740835
"Opuntia_PA2_RUN2_GBM","PA2","RUN2","GBM","pop_pul",3,0.318589
"Opuntia_PA2_RUN2_GBM","PA2","RUN2","GBM","ndvi_2",3,0.079802
"Opuntia_PA2_RUN3_RF","PA2","RUN3","RF","ndvi_1",1,0.304608
"Opuntia_PA2_RUN3_RF","PA2","RUN3","RF","pop_pul",1,0.440621
"Opuntia_PA2_RUN3_RF","PA2","RUN3","RF","ndvi_2",1,0.043342
"Opuntia_PA2_RUN3_RF","PA2","RUN3","RF","ndvi_1",2,0.313273
"Opuntia_PA2_RUN3_RF","PA2","RUN3","RF","pop_pul",2,0.489563
"Opuntia_PA2_RUN3_RF","PA2","RUN3","RF","ndvi_2",2,0.039502
"Opuntia_PA2_RUN3_RF","PA2","RUN3","RF","ndvi_1",3,0.293362
"Opuntia_PA2_RUN3_RF","PA2","RUN3","RF","pop_pul",3,0.451583
"Opuntia_PA2_RUN3_RF","PA2","RUN3","RF","ndvi_2",3,0.037516
"Opuntia_PA2_RUN3_GBM","PA2","RUN3","GBM","ndvi_1",1,0.331002
"Opuntia_PA2_RUN3_GBM","PA2","RUN3","GBM","pop_pul",1,0.514371
"Opuntia_PA2_RUN3_GBM","PA2","RUN3","GBM","ndvi_2",1,0.028384
"Opuntia_PA2_RUN3_GBM","PA2","RUN3","GBM","ndvi_1",2,0.381827
"Opuntia_PA2_RUN3_GBM","PA2","RUN3","GBM","pop_pul",2,0.534176
"Opuntia_PA2_RUN3_GBM","PA2","RUN3","GBM","ndvi_2",2,0.038257
"Opuntia_PA2_RUN3_GBM","PA2","RUN3","GBM","ndvi_1",3,0.380574
"Opuntia_PA2_RUN3_GBM","PA2","RUN3","GBM","pop_pul",3,0.492338
"Opuntia_PA2_RUN3_GBM","PA2","RUN3","GBM","ndvi_2",3,0.039354
"Opuntia_PA3_RUN1_RF","PA3","RUN1","RF","ndvi_1",1,0.242385
"Opuntia_PA3_RUN1_RF","PA3","RUN1","RF","pop_pul",1,0.324264
"Opuntia_PA3_RUN1_RF","PA3","RUN1","RF","ndvi_2",1,0.02971
"Opuntia_PA3_RUN1_RF","PA3","RUN1","RF","ndvi_1",2,0.257843
"Opuntia_PA3_RUN1_RF","PA3","RUN1","RF","pop_pul",2,0.361282
"Opuntia_PA3_RUN1_RF","PA3","RUN1","RF","ndvi_2",2,0.035425
"Opuntia_PA3_RUN1_RF","PA3","RUN1","RF","ndvi_1",3,0.261491
