"algo","expl.var","Mean_Importance"
"GBM","bio14","0.0013702593"
"GBM","bio15","0.3870281481"
"GBM","bio2","0.0002859630"
"GBM","bio3","0.0001935556"
"GBM","bio4","0.0134980741"
"GBM","bio6","0.1240675556"
"GBM","bio7","0.0032171111"
"GBM","ndvi","0.0002411852"
"GBM","pop","0.0051900000"
"RF","bio14","0.0114977778"
"RF","bio15","0.1096226667"
"RF","bio2","0.0049567778"
"RF","bio3","0.0029770741"
"RF","bio4","0.0259425926"
"RF","bio6","0.0560398889"
"RF","bio7","0.0240154815"
"RF","ndvi","0.0014024815"
"RF","pop","0.0054237778"
