"full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","KAPPA",409,100,98.75,0.984,0.936,NA
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","TSS",409,100,98.75,0.988,0.95,NA
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","ROC",408,100,98.75,1,0.999,NA
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","KAPPA",783,96.04,100,0.967,0.968,NA
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","TSS",396,99.01,97.5,0.965,0.95,NA
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","ROC",394,99.01,97.5,0.999,1,NA
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","KAPPA",359,100,98.125,0.976,1,NA
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","TSS",359,100,98.125,0.981,1,NA
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","ROC",358,100,98.125,1,1,NA
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","KAPPA",363,100,96.25,0.952,0.968,NA
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","TSS",363,100,96.25,0.962,0.975,NA
"Opuntia_PA1_RUN2_GBM","PA1","RUN2","GBM","ROC",363,100,96.25,0.999,1,NA
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","KAPPA",333,100,98.75,0.984,0.935,NA
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","TSS",333,100,98.75,0.988,0.935,NA
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","ROC",333,100,98.75,1,0.999,NA
"Opuntia_PA1_RUN3_GBM","PA1","RUN3","GBM","KAPPA",767,97.03,99.375,0.968,0.935,NA
"Opuntia_PA1_RUN3_GBM","PA1","RUN3","GBM","TSS",767,97.03,99.375,0.964,0.935,NA
"Opuntia_PA1_RUN3_GBM","PA1","RUN3","GBM","ROC",767.5,97.03,99.375,0.999,0.995,NA
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","KAPPA",258,100,99.375,0.992,0.935,NA
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","TSS",258,100,99.375,0.994,0.935,NA
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","ROC",257,100,99.375,1,0.996,NA
"Opuntia_PA2_RUN1_GBM","PA2","RUN1","GBM","KAPPA",713,97.03,100,0.976,0.902,NA
"Opuntia_PA2_RUN1_GBM","PA2","RUN1","GBM","TSS",713,97.03,100,0.97,0.895,NA
"Opuntia_PA2_RUN1_GBM","PA2","RUN1","GBM","ROC",715,97.03,100,0.999,0.993,NA
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","KAPPA",394,100,99.375,0.992,0.903,NA
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","TSS",394,100,99.375,0.994,0.91,NA
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","ROC",395,100,99.375,1,0.996,NA
"Opuntia_PA2_RUN2_GBM","PA2","RUN2","GBM","KAPPA",705.5,97.03,99.375,0.968,0.967,NA
"Opuntia_PA2_RUN2_GBM","PA2","RUN2","GBM","TSS",363,100,96.875,0.969,0.86,NA
"Opuntia_PA2_RUN2_GBM","PA2","RUN2","GBM","ROC",363,100,96.875,0.999,0.995,NA
"Opuntia_PA2_RUN3_RF","PA2","RUN3","RF","KAPPA",278,100,98.75,0.984,0.935,NA
"Opuntia_PA2_RUN3_RF","PA2","RUN3","RF","TSS",278,100,98.75,0.988,0.935,NA
"Opuntia_PA2_RUN3_RF","PA2","RUN3","RF","ROC",282,100,98.75,1,0.999,NA
"Opuntia_PA2_RUN3_GBM","PA2","RUN3","GBM","KAPPA",581,98.02,98.75,0.968,0.967,NA
"Opuntia_PA2_RUN3_GBM","PA2","RUN3","GBM","TSS",581,98.02,98.75,0.968,0.96,NA
"Opuntia_PA2_RUN3_GBM","PA2","RUN3","GBM","ROC",580.5,98.02,98.75,0.999,0.998,NA
"Opuntia_PA3_RUN1_RF","PA3","RUN1","RF","KAPPA",672,98.02,100,0.984,0.87,NA
"Opuntia_PA3_RUN1_RF","PA3","RUN1","RF","TSS",672,98.02,100,0.98,0.87,NA
"Opuntia_PA3_RUN1_RF","PA3","RUN1","RF","ROC",672,98.02,100,1,0.977,NA
"Opuntia_PA3_RUN1_GBM","PA3","RUN1","GBM","KAPPA",729,98.02,98.75,0.976,0.839,NA
"Opuntia_PA3_RUN1_GBM","PA3","RUN1","GBM","TSS",729,98.02,98.75,0.974,0.845,NA
"Opuntia_PA3_RUN1_GBM","PA3","RUN1","GBM","ROC",729.5,98.02,99.375,0.999,0.981,NA
"Opuntia_PA3_RUN2_RF","PA3","RUN2","RF","KAPPA",399,100,98.125,0.976,0.968,NA
"Opuntia_PA3_RUN2_RF","PA3","RUN2","RF","TSS",399,100,98.125,0.981,0.975,NA
"Opuntia_PA3_RUN2_RF","PA3","RUN2","RF","ROC",401,100,98.125,0.999,0.996,NA
"Opuntia_PA3_RUN2_GBM","PA3","RUN2","GBM","KAPPA",548,97.03,98.125,0.952,0.968,NA
"Opuntia_PA3_RUN2_GBM","PA3","RUN2","GBM","TSS",548,97.03,98.125,0.952,0.975,NA
"Opuntia_PA3_RUN2_GBM","PA3","RUN2","GBM","ROC",548.5,97.03,98.125,0.997,1,NA
"Opuntia_PA3_RUN3_RF","PA3","RUN3","RF","KAPPA",409,100,97.5,0.968,0.967,NA
"Opuntia_PA3_RUN3_RF","PA3","RUN3","RF","TSS",409,100,97.5,0.975,0.96,NA
"Opuntia_PA3_RUN3_RF","PA3","RUN3","RF","ROC",477,99.01,98.75,0.999,0.997,NA
"Opuntia_PA3_RUN3_GBM","PA3","RUN3","GBM","KAPPA",710,97.03,98.75,0.96,0.934,NA
"Opuntia_PA3_RUN3_GBM","PA3","RUN3","GBM","TSS",710,97.03,98.75,0.958,0.92,NA
"Opuntia_PA3_RUN3_GBM","PA3","RUN3","GBM","ROC",709.5,97.03,98.75,0.998,0.995,NA
