"full.name","PA","run","algo","expl.var","rand","var.imp"
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio14",1,0.548966
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio15",1,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio18",1,0.108744
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio2",1,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio3",1,0.040257
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio4",1,0.431244
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio6",1,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio7",1,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","dec_ndvi",1,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","jul_ndvi",1,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","jun_evi",1,0.312774
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","oct_evi",1,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","pop_pul",1,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","mean_ndvi",1,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio14",2,0.606987
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio15",2,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio18",2,0.103409
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio2",2,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio3",2,0.044224
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio4",2,0.521084
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio6",2,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio7",2,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","dec_ndvi",2,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","jul_ndvi",2,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","jun_evi",2,0.297831
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","oct_evi",2,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","pop_pul",2,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","mean_ndvi",2,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio14",3,0.618283
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio15",3,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio18",3,0.102788
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio2",3,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio3",3,0.036663
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio4",3,0.43084
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio6",3,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","worldclim_KE_bio7",3,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","dec_ndvi",3,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","jul_ndvi",3,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","jun_evi",3,0.379347
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","oct_evi",3,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","pop_pul",3,0
"Opuntia_PA1_RUN1_GLM","PA1","RUN1","GLM","mean_ndvi",3,0
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio14",1,0.071717
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio15",1,0.00315900000000002
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio18",1,2.50000000000528e-05
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio2",1,0.000453999999999954
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio3",1,0.000614000000000003
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio4",1,0.315215
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio6",1,3.29999999999497e-05
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio7",1,1.39999999999585e-05
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","dec_ndvi",1,0.000612999999999975
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","jul_ndvi",1,1.70000000000448e-05
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","jun_evi",1,1.6000000000016e-05
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","oct_evi",1,0.00268299999999999
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","pop_pul",1,0.000754000000000032
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","mean_ndvi",1,1.30000000000408e-05
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio14",2,0.069249
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio15",2,0.00318099999999999
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio18",2,2.4000000000024e-05
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio2",2,0.000368999999999953
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio3",2,0.000627000000000044
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio4",2,0.323169
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio6",2,2.99999999999745e-05
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio7",2,1.2000000000012e-05
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","dec_ndvi",2,0.000601999999999991
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","jul_ndvi",2,1.70000000000448e-05
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","jun_evi",2,1.6000000000016e-05
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","oct_evi",2,0.00336099999999995
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","pop_pul",2,0.000825999999999993
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","mean_ndvi",2,1.2000000000012e-05
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio14",3,0.073997
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio15",3,0.00291600000000003
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio18",3,2.50000000000528e-05
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio2",3,0.000395000000000034
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio3",3,0.000628999999999991
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio4",3,0.380919
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio6",3,3.39999999999785e-05
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","worldclim_KE_bio7",3,1.39999999999585e-05
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","dec_ndvi",3,0.00062300000000004
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","jul_ndvi",3,1.6000000000016e-05
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","jun_evi",3,1.70000000000448e-05
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","oct_evi",3,0.00326599999999999
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","pop_pul",3,0.000813999999999981
"Opuntia_PA1_RUN1_GBM","PA1","RUN1","GBM","mean_ndvi",3,1.30000000000408e-05
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio14",1,0.031794
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio15",1,0.043673
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio18",1,0.000730000000000008
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio2",1,0.00440600000000002
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio3",1,0.00268500000000005
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio4",1,0.053943
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio6",1,0.00374799999999997
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio7",1,0.00340300000000004
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","dec_ndvi",1,0.00221300000000002
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","jul_ndvi",1,0.00133899999999998
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","jun_evi",1,0.00200599999999995
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","oct_evi",1,0.00276100000000001
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","pop_pul",1,0.00641499999999995
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","mean_ndvi",1,0.00131000000000003
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio14",2,0.0329660000000001
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio15",2,0.042579
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio18",2,0.000531999999999977
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio2",2,0.00446599999999997
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio3",2,0.00272499999999998
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio4",2,0.052148
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio6",2,0.00361500000000003
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio7",2,0.00322
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","dec_ndvi",2,0.00287700000000002
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","jul_ndvi",2,0.00130200000000003
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","jun_evi",2,0.00205299999999997
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","oct_evi",2,0.00303100000000001
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","pop_pul",2,0.00639199999999995
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","mean_ndvi",2,0.00129199999999996
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio14",3,0.031408
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio15",3,0.043814
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio18",3,0.000520999999999994
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio2",3,0.00488699999999997
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio3",3,0.00259600000000004
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio4",3,0.054216
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio6",3,0.00381900000000002
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","worldclim_KE_bio7",3,0.00352600000000003
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","dec_ndvi",3,0.00261199999999995
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","jul_ndvi",3,0.00122599999999995
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","jun_evi",3,0.00209899999999996
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","oct_evi",3,0.002637
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","pop_pul",3,0.00650499999999998
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","mean_ndvi",3,0.00126999999999999
"Opuntia_PA1_RUN2_GLM","PA1","RUN2","GLM","worldclim_KE_bio14",1,0.479291
"Opuntia_PA1_RUN2_GLM","PA1","RUN2","GLM","worldclim_KE_bio15",1,0
"Opuntia_PA1_RUN2_GLM","PA1","RUN2","GLM","worldclim_KE_bio18",1,0.139334
"Opuntia_PA1_RUN2_GLM","PA1","RUN2","GLM","worldclim_KE_bio2",1,0.297073
