"full.name","PA","run","algo","expl.var","rand","var.imp"
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio15",1,0.082318
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio4",1,0.038826
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio14",1,0.030322
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio6",1,0.00511799999999996
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio7",1,0.03668
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","pop",1,0.00206700000000004
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio2",1,0.003888
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio3",1,0.00214599999999998
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","ndvi",1,0.00129599999999996
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio15",2,0.091463
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio4",2,0.036421
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio14",2,0.029081
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio6",2,0.00495999999999996
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio7",2,0.038246
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","pop",2,0.00216400000000005
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio2",2,0.00391399999999997
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio3",2,0.00244900000000003
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","ndvi",2,0.00129999999999997
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio15",3,0.091989
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio4",3,0.038191
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio14",3,0.029713
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio6",3,0.00509700000000002
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio7",3,0.040055
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","pop",3,0.001919
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio2",3,0.00437900000000002
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","bio3",3,0.00239199999999995
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","ndvi",3,0.00126499999999996
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio15",1,0.122588
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio4",1,0.093498
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio14",1,0.03194
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio6",1,0.00304499999999996
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio7",1,0.00334699999999999
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","pop",1,0.00117900000000004
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio2",1,0.000964999999999994
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio3",1,0.000636999999999999
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","ndvi",1,0.00253400000000004
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio15",2,0.107225
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio4",2,0.097819
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio14",2,0.033795
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio6",2,0.00302899999999995
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio7",2,0.00377300000000003
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","pop",2,0.00129900000000005
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio2",2,0.000970000000000026
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio3",2,0.000627000000000044
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","ndvi",2,0.001776
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio15",3,0.108484
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio4",3,0.099675
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio14",3,0.033374
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio6",3,0.00299400000000005
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio7",3,0.00370199999999998
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","pop",3,0.00124899999999994
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio2",3,0.00107599999999997
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","bio3",3,0.000632999999999995
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","ndvi",3,0.001363
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","bio15",1,0.074975
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","bio4",1,0.104308
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","bio14",1,0.020246
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","bio6",1,0.014348
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","bio7",1,0.00287700000000002
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","pop",1,0.00431899999999996
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","bio2",1,0.00165199999999999
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","bio3",1,0.000643999999999978
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","ndvi",1,0.000333999999999945
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","bio15",2,0.074171
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","bio4",2,0.09773
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","bio14",2,0.018948
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","bio6",2,0.013496
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","bio7",2,0.00271900000000003
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","pop",2,0.00415900000000002
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","bio2",2,0.001722
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","bio3",2,0.000685000000000047
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","ndvi",2,0.000197000000000003
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","bio15",3,0.071742
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","bio4",3,0.11297
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","bio14",3,0.018995
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","bio6",3,0.013753
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","bio7",3,0.00268100000000004
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","pop",3,0.00378900000000004
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","bio2",3,0.00194099999999997
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","bio3",3,0.000616999999999979
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","ndvi",3,0.000379000000000018
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","bio15",1,0.146814
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","bio4",1,0.032228
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","bio14",1,0.02225
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","bio6",1,0.010066
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","bio7",1,0.01963
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","pop",1,0.00317900000000004
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","bio2",1,0.00490699999999999
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","bio3",1,0.000519000000000047
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","ndvi",1,0.00126800000000005
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","bio15",2,0.128752
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","bio4",2,0.032184
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","bio14",2,0.020668
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","bio6",2,0.00962499999999999
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","bio7",2,0.021041
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","pop",2,0.00369399999999998
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","bio2",2,0.00501399999999996
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","bio3",2,0.000549000000000022
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","ndvi",2,0.00131499999999996
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","bio15",3,0.134306
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","bio4",3,0.0293600000000001
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","bio14",3,0.021211
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","bio6",3,0.00973900000000005
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","bio7",3,0.019664
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","pop",3,0.00350499999999998
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","bio2",3,0.00523399999999996
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","bio3",3,0.000515999999999961
