"full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","KAPPA",444,100,98.75,0.984,0.87,NA
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","TSS",444,100,98.75,0.988,0.87,NA
"Opuntia_PA1_RUN1_RF","PA1","RUN1","RF","ROC",445,100,98.75,1,0.977,NA
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","KAPPA",424,100,98.75,0.984,0.839,NA
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","TSS",424,100,98.75,0.988,0.845,NA
"Opuntia_PA1_RUN2_RF","PA1","RUN2","RF","ROC",424,100,98.75,1,0.932,NA
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","KAPPA",394,100,99.375,0.992,0.843,NA
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","TSS",394,100,99.375,0.994,0.875,NA
"Opuntia_PA1_RUN3_RF","PA1","RUN3","RF","ROC",393,100,99.375,1,0.965,NA
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","KAPPA",540,98.02,100,0.984,0.936,NA
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","TSS",343,100,98.125,0.981,0.925,NA
"Opuntia_PA2_RUN1_RF","PA2","RUN1","RF","ROC",344,100,98.125,1,0.992,NA
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","KAPPA",475,99.01,99.375,0.984,0.934,NA
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","TSS",475,99.01,99.375,0.984,0.92,NA
"Opuntia_PA2_RUN2_RF","PA2","RUN2","RF","ROC",475,99.01,99.375,1,1,NA
"Opuntia_PA2_RUN3_RF","PA2","RUN3","RF","KAPPA",470,100,98.75,0.984,0.841,NA
"Opuntia_PA2_RUN3_RF","PA2","RUN3","RF","TSS",470,100,98.75,0.988,0.86,NA
"Opuntia_PA2_RUN3_RF","PA2","RUN3","RF","ROC",469,100,98.75,1,0.991,NA
"Opuntia_PA3_RUN1_RF","PA3","RUN1","RF","KAPPA",384,100,98.125,0.976,0.968,NA
"Opuntia_PA3_RUN1_RF","PA3","RUN1","RF","TSS",384,100,98.125,0.981,0.975,NA
"Opuntia_PA3_RUN1_RF","PA3","RUN1","RF","ROC",384,100,98.125,0.999,1,NA
"Opuntia_PA3_RUN2_RF","PA3","RUN2","RF","KAPPA",384,100,98.125,0.976,0.968,NA
"Opuntia_PA3_RUN2_RF","PA3","RUN2","RF","TSS",384,100,98.125,0.981,0.975,NA
"Opuntia_PA3_RUN2_RF","PA3","RUN2","RF","ROC",385,100,98.125,0.999,1,NA
"Opuntia_PA3_RUN3_RF","PA3","RUN3","RF","KAPPA",323,100,98.125,0.976,0.903,NA
"Opuntia_PA3_RUN3_RF","PA3","RUN3","RF","TSS",323,100,98.125,0.981,0.91,NA
"Opuntia_PA3_RUN3_RF","PA3","RUN3","RF","ROC",326,100,98.125,1,0.995,NA
